full_name,eligible_positions,IDfg
Adam Mazur,SP,-1
Henry Williams,SP,-1
Huascar Ynoa,SP,20468
Jairo Iriarte,SP,14996
Garrett Hawkins,SP,1790
Ryan Bergert,SP,12138
Jagger Haynes,SP,1005534
Taylor Dollard,SP,17548
JT Brubaker,SP,17578
Carson Whisenhunt,SP,1013843
Reggie Crawford,SP,1002739
Eric Silva,SP,-1
Trevor McDonald,SP,1008468
Carson Seymour,SP,1011777
Gordon Graceffo,SP,-1
Cooper Hjerpe,SP,19458
Brycen Mautz,SP,10607
Pete Hansen,SP,1005476
Max Rajcic,SP,22175
Mason Montgomery,SP,1009072
Ian Seymour,SP,1011778
Marcus Johnson,SP,1216
Trevor Martin,SP,6398
Brock Porter,SP,1010447
Kumar Rocker,SP,1010938
Tekoah Roby,SP,-1
Mitch Bratt,SP,4961
Emiliano Teodo,SP,3106
Marc Church,RP,2106
Josh Stephan,SP,-1
Brandon Barriera,SP,4878
Hayden Juenger,SP,4893
Dahian Santos,SP,2657
Jarlin Susana,SP,1012642
Zach Brzykcy,RP,19667
Corbin Martin,"SP,RP",19884
Santiago Suarez,SP,2122
Matt Sauer,SP,19705
Braxton Ashcraft,SP,27552
Jake Bennett,SP,-1
Yu-Min Lin,SP,14678
Cole Winn,"SP,RP",19244
Dylan Ray,SP,1009384
Adam Kloffenstein,SP,3568
Yilber Diaz,SP,23003
Walter Ford,SP,-1
Ashton Izzi,SP,3473
Griff McGarry,SP,1008504
Andrew Painter,SP,1675
Marcelo Perez,SP,1010183
Aaron Ashby,SP,23550
Stephen Kolek,SP,19545
Mason Black,SP,1001010
Gerelmi Maldonado,SP,1008016
Landen Roupp,SP,11146
Jacob Miller,SP,3104
Karson Milbrandt,SP,1001351
Cade Povich,SP,1010440
Justin Armbruester,SP,1001592
Trace Bright,SP,-1
Michael Mercado,"SP,RP",8461
Jun-Seok Shim,P,197
David Sandlin,SP,1693
Matt Foster,RP,19647
Luis Gil,SP,21052
Manuel Rodríguez,RP,20794
J.P. Feyereisen,RP,16610
Blake Walston,SP,-1
Kohl Franklin,SP,-1
Ryan Jensen,"SP,RP",1117
Daniel Espino,SP,1003829
Jared Jones,SP,1006583
Jack Kochanowicz,SP,1009824
Antoine Kelly,SP,1006818
